target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
C03AA03,100,2831,100,63.46,47.87,76.35,72.73,70.39,74.71,9.27,-4.03,24.61,0.132,0.87,0.66,1.06
C03AB01,147,2785,93.33,59.7,48.03,71.22,72.41,69.97,74.31,12.71,0.04,24.4,0.048,0.82,0.67,1
C03CA01,1678,398,100,67.89,64.72,70.79,61.76,56.77,67.82,-6.13,-11.65,0.35,0.064,1.1,0.99,1.2
C03CA02,844,495,100,75.56,71.14,79.54,70.66,66.39,75.06,-4.9,-10.04,1.02,0.132,1.07,0.99,1.15
C03DA01,280,2701,96.67,84.74,74.65,93.46,68.79,66.81,71.19,-15.94,-24.8,-5.21,0.010,1.23,1.08,1.36
C05AA04,442,164,100,53.35,46.31,59.72,64.27,53.72,74.58,10.93,-1.6,23.78,0.088,0.83,0.67,1.03
C05BA01,175,513,100,62.66,52.7,73.14,51.45,45.1,57.09,-11.21,-24.44,0.65,0.080,1.22,0.99,1.51
C07AB07,113,9,40,74.58,64.6,89.15,66.94,33.27,100,-7.63,-49.6,23.48,0.606,1.11,0.74,2.51
C08CA01,468,73,86.67,62.2,55.63,68.95,68.97,46.9,91.77,6.77,-15.27,31.07,0.442,0.9,0.66,1.33
C08CA05,183,76,100,70.2,56.54,87.58,49.47,14.4,82.64,-20.73,-59.51,13.36,0.314,1.42,0.82,5.32
C08CA13,144,78,90,55.02,39.27,71.68,53.65,14.35,84.97,-1.37,-44.11,33.59,0.870,1.03,0.53,4.03
C09AA02,188,1411,100,64.9,55.29,73.82,54.85,51.42,58.69,-10.05,-18.86,1.16,0.072,1.18,0.98,1.36
C09AA05,381,1392,100,54.77,46.56,64.25,55.15,51.51,59.06,0.38,-9.25,9.04,0.884,0.99,0.83,1.18
C09CA01,281,1082,100,51.31,43.4,59.87,61.46,57.11,65.16,10.15,-0.53,18.58,0.064,0.83,0.7,1.01
