target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
N03AX12,767,10000,100,65.55,62.48,66.35,58.7,52.65,65.07,6.86,-0.27,11.92,0.056,0.9,0.82,1
N03AX16,339,10000,93.1,65.21,63.19,66.79,62.81,52.53,72.64,2.4,-7.92,12.62,0.604,0.96,0.81,1.12
N05AA02,114,10000,86.21,65.13,61.72,65.68,69.47,52.5,81.62,-4.34,-17.76,11.46,0.604,1.07,0.82,1.28
N05AB04,107,10000,96.55,62.77,61.42,65.27,51.22,26.76,67.76,11.56,-4.87,36.85,0.166,0.82,0.42,1.08
N05AD01,107,10000,93.1,64.33,61.95,65.73,89.04,77.76,98.74,-24.72,-35.05,-13.79,0.002,1.38,1.21,1.55
N05AH03,108,10000,100,64.65,61.85,65.67,70.32,57.27,83.23,-5.68,-19.55,6.98,0.392,1.09,0.89,1.31
N05AH04,1045,10000,100,63.04,62.55,65.25,75.92,71.21,80.29,-12.88,-16.52,-7.2,0.002,1.2,1.11,1.26
N05BA01,1045,10000,100,65.56,63.46,66.32,62.38,58.11,65.49,3.18,-0.73,7.02,0.126,0.95,0.89,1.01
N05BA04,1576,10000,100,64.61,63.3,66.27,68.28,64.85,71.44,-3.67,-6.64,-0.06,0.048,1.06,1,1.1
N05BB01,270,10000,100,63.64,63.11,66.03,58.63,49.85,66.21,5.02,-1.32,14.69,0.124,0.92,0.77,1.02
N05CD02,329,10000,100,66.77,63.98,66.95,61.2,54.1,68.1,5.57,-2.52,11.49,0.204,0.92,0.83,1.04
N05CF01,2161,10000,100,64.34,63.54,66.44,61.69,59.32,64.27,2.65,0.51,6.07,0.026,0.96,0.91,0.99
N05CF02,591,10000,100,66.05,63.97,66.78,63.27,57.69,67.67,2.79,-2.51,8.19,0.344,0.96,0.88,1.04
N05CH01,1017,10000,100,64.45,63.55,66.41,57.35,50.87,61.64,7.09,3.19,14.29,0.008,0.89,0.78,0.95
N05CM02,183,10000,89.66,64.45,62.44,66.11,86.71,75.63,95.54,-22.26,-31.86,-11.26,0.002,1.35,1.17,1.5
N06AA09,451,10000,100,64.7,62.25,65.91,65.84,60.23,72.25,-1.14,-7.61,4.32,0.706,1.02,0.93,1.12
N06AB04,220,10000,100,64.3,62.35,66.32,70.59,63.54,78.84,-6.3,-13.85,0.51,0.104,1.1,0.99,1.22
N06AB06,204,10000,96.55,65.31,62.32,66.46,76.95,66.01,86.22,-11.65,-21.75,-1.63,0.018,1.18,1.03,1.34
N06AB10,915,10000,100,64.83,63.33,66.18,70.69,66.52,74.55,-5.86,-9.86,-1.72,0.010,1.09,1.03,1.15
N06AX03,663,10000,100,64.38,63.43,66.27,58.2,53.1,63.22,6.18,1.72,11.75,0.008,0.9,0.82,0.97
N06AX11,772,10000,100,65.06,63.18,65.72,69.37,61.96,74.89,-4.32,-10.58,2.48,0.176,1.07,0.96,1.17
N06AX16,217,10000,100,65.87,62.01,66.18,62.12,46.4,72.96,3.75,-8.18,17.83,0.528,0.94,0.71,1.13
N06DA02,277,10000,93.1,63.39,61.44,64.7,76.31,69.04,84.44,-12.92,-21.37,-5.8,0.002,1.2,1.09,1.34
N06DA03,1063,10000,100,61.77,61.44,64.19,83.41,76.13,86.83,-21.64,-24.25,-13.19,0.002,1.35,1.21,1.39
N06DX01,170,10000,89.66,63.67,61.56,65.17,95.27,87.58,100,-31.61,-37.54,-24.19,0.002,1.5,1.38,1.6
N07BB04,143,10000,89.66,63.58,60.25,65.19,58.25,38.39,79.88,5.33,-15.53,24.85,0.584,0.92,0.61,1.24
P01AB01,591,141,82.76,33.23,21.99,53.59,45.15,37.61,54.73,-11.92,-26.9,9.79,0.366,1.36,0.81,2.14
P01BB51,102,591,65.52,45.87,39.92,52.74,19.06,5.55,39.45,26.81,5.91,41.51,0.016,0.42,0.12,0.87
R01AD09,584,8110,100,56.4,54.49,57.82,49.51,43.7,55.68,6.89,0.5,12.31,0.034,0.88,0.78,0.99
R01AD12,209,8099,100,55.33,53.2,56.95,53.58,42.75,61.7,1.75,-6.3,12.61,0.668,0.97,0.77,1.12
R01BA01,245,9470,100,56.26,52.68,57.39,53.78,43.24,62.36,2.49,-7.04,12.48,0.670,0.96,0.78,1.13
R03AC02,861,6845,100,54.84,52.96,56.57,57.6,51.73,63.47,-2.76,-8.38,3.28,0.416,1.05,0.94,1.16
R03AK06,200,7687,100,55.45,52.24,56.99,47.13,35.37,60.37,8.32,-5.4,19.32,0.236,0.85,0.65,1.1
R03AK07,200,7717,100,55.23,52.15,56.74,47.1,37.61,59.22,8.14,-3.81,17.26,0.244,0.85,0.68,1.07
R03BA05,101,9129,96.55,52.87,51.59,56.07,50.61,36.08,69.77,2.26,-14.76,17.87,0.902,0.96,0.67,1.27
R03BB01,271,8708,100,54.15,51.61,56.03,61.35,49.69,73.3,-7.2,-18.99,4.76,0.182,1.13,0.91,1.35
R03BB04,150,8890,89.66,54.08,50.33,55.26,67.15,45.18,81.6,-13.06,-29.84,8.04,0.262,1.24,0.85,1.57
R05CB01,1814,6064,100,50.59,48.94,53.14,61.38,58.56,64.54,-10.78,-13.63,-6.85,0.002,1.21,1.13,1.27
R05CB02,109,7977,100,51.84,48.28,53.09,59.73,42.85,70.67,-7.9,-19.45,7.4,0.394,1.15,0.85,1.38
R05DA01,1706,6340,100,58.58,55.88,59.76,49.54,46.42,52.89,9.05,4.84,11.65,<0.001,0.85,0.8,0.91
R05FA02,404,9020,100,56.53,54.66,57.94,49.41,42.05,56.24,7.12,0.39,14.54,0.042,0.87,0.75,0.99
R06AD01,518,7665,100,56.15,54.28,57.71,56.42,50.39,62.07,-0.27,-6.38,6.04,0.898,1,0.89,1.11
R06AE07,647,7114,100,56.58,54.73,58.25,56.14,50.92,61.12,0.44,-4.71,5.61,0.848,0.99,0.9,1.08
