target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
B01AF02,500,2271,96.55,52.81,39.58,71.67,65.89,60.81,70.63,13.08,-7.22,27.05,0.146,0.8,0.59,1.11
B03AA01,152,6802,96.55,83.81,63.92,93.48,67,64.93,68.73,-16.8,-26.7,3.06,0.074,1.25,0.95,1.4
B03AA07,601,6659,100,71.89,65.5,77.85,66.97,65.42,68.91,-4.91,-11.07,1.76,0.154,1.07,0.97,1.17
B03BA01,478,5221,96.55,71.33,62.39,79.11,68.76,66.69,70.6,-2.57,-10.7,6.41,0.572,1.04,0.91,1.16
B03BA02,392,2645,100,64.33,59.13,69.05,68.19,65.9,70,3.87,-0.95,8.89,0.142,0.94,0.87,1.01
B03BA03,958,4846,100,68.72,63.83,73.59,68.28,65.99,70.15,-0.44,-5.97,4.85,0.878,1.01,0.93,1.09
B03BB01,590,5050,100,70.86,65.73,76.25,68.39,66.46,70.55,-2.47,-7.86,2.9,0.434,1.04,0.96,1.12
C01AA05,126,10000,93.1,66.21,49.82,83.16,62.13,60.31,63.3,-4.08,-21.29,11.91,0.632,1.07,0.81,1.35
C01DA02,949,8928,100,61.88,57.07,66.64,61.68,60.2,63.15,-0.21,-4.9,4.44,0.962,1,0.93,1.08
C01DA14,266,9795,96.55,64.64,56.05,75.92,61.06,59.76,62.5,-3.57,-14.27,5.21,0.326,1.06,0.91,1.23
C03AA03,100,10000,100,60.38,46.11,73.42,63.69,61.66,64.47,3.32,-9.91,17.04,0.652,0.95,0.73,1.16
C03AB01,147,10000,93.1,57.2,46.76,67.01,63.42,61.93,64.43,6.22,-4.11,16.32,0.192,0.9,0.74,1.07
C03CA01,1678,7141,100,63.28,60.43,66.69,57.21,55.84,59.28,-6.07,-9.62,-2.26,0.002,1.11,1.04,1.17
C03CA02,844,8287,100,70.8,65.93,76.11,59.43,58.69,61.63,-11.37,-16.23,-5.51,0.002,1.19,1.09,1.27
C03DA01,280,10000,100,83.31,73.6,92.78,61.8,60.66,63.36,-21.5,-30.3,-11.15,0.002,1.35,1.18,1.5
C05AA04,442,10000,100,61.44,54.16,67.51,63.16,61.81,64.29,1.72,-4.5,8.94,0.612,0.97,0.86,1.07
C05BA01,175,10000,93.1,67.75,56.29,79.15,61.9,60.98,63.6,-5.85,-17.12,6.31,0.358,1.09,0.9,1.28
C07AA05,267,9786,100,55.95,44.33,65.56,63.7,62.36,64.84,7.74,-1.76,19.93,0.138,0.88,0.69,1.03
